runid,lan,train_length,test_length,size,varlen,epochs,layers,heads,d_ffnn,scaled,eps,lr
1,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
2,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
3,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
4,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
5,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
6,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
7,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
8,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
9,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
10,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
11,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
12,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
13,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
14,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
15,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
16,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
17,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
18,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
19,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
20,one,30,1000,100,True,1000,2,1,64,False,1e-05,0.0003
21,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
22,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
23,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
24,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
25,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
26,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
27,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
28,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
29,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
30,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
31,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
32,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
33,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
34,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
35,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
36,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
37,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
38,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
39,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
40,one,100,1000,100,True,1000,2,1,64,False,1e-05,0.0003
